Accession,Isolate_ID,Originating_lab,Submitting_lab,Subtype
EPI588475 | A_Sergipe_759_2013,EPIISL178945,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588464 | A_Santa Catarina_388_2013,EPIISL178934,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588461 | A_Santa Catarina_231_2012,EPIISL178931,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588455 | A_Santa Catarina_220_2012,EPIISL178925,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588441 | A_Rio Grande do Sul_673_2012,EPIISL178911,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588439 | A_Rio Grande do Sul_562_2012,EPIISL178909,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588425 | A_Rio Grande do Sul_287_2013,EPIISL178895,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588417 | A_Rio Grande do Sul_271_2013,EPIISL178887,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588412 | A_Rio Grande do Sul_1103_2013,EPIISL178882,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588402 | A_Rio Grande do Sul_1076_2013,EPIISL178872,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588386 | A_Rio de Janeiro_144_2013,EPIISL178856,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588367 | A_Parana_822_2013,EPIISL178837,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588366 | A_Parana_816_2013,EPIISL178836,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588360 | A_Parana_419_2012,EPIISL178830,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588358 | A_Parana_414_2012,EPIISL178828,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588357 | A_Parana_413_2012,EPIISL178827,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588353 | A_Parana_407_2012,EPIISL178823,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588332 | A_Parana_291_2012,EPIISL178802,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588323 | A_Parana_1430_2013,EPIISL178793,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588320 | A_Parana_1375_2013,EPIISL178790,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588319 | A_Parana_1302_2013,EPIISL178789,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588312 | A_Parana_1016_2013,EPIISL178782,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588302 | A_Minas Gerais_1394_2013,EPIISL178772,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588295 | A_Espirito Santo_923_2013,EPIISL178765,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588294 | A_Espirito Santo_1110_2013,EPIISL178764,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588292 | A_Bahia_885_2012,EPIISL178762,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588285 | A_Bahia_739_2013,EPIISL178755,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588282 | A_Bahia_735_2013,EPIISL178752,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588276 | A_Bahia_433_2012,EPIISL178746,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588274 | A_Bahia_33_2013,EPIISL178744,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI588263 | A_Alagoas_406_2013,EPIISL178733,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),H1N1pdm09
EPI587480 | 2014-CX0069.4,EPIISL178237,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H1N1pdm09
EPI587470 | 2014-CX0408.4,EPIISL178232,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H1N1pdm09
EPI587464 | 2014-CX0411.4,EPIISL178229,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H1N1pdm09
EPI587462 | 2014-CX0413.4,EPIISL178228,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H1N1pdm09
EPI583171 | A/Yucatan/07/2012,EPIISL177268,Centro de Investigaciones Regionales Dr. Hideyo Noguchi,Universidad Autonoma de Yucatan,H1N1pdm09
EPI567875 | A/Vietnam/13V H1-6/2013,EPIISL173298,,Niigata University,H1N1pdm09
EPI567296 | 14S0460,EPIISL173214,Research Institute of Tropical Medicine,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI566245 | 13S0604,EPIISL172853,Queensland Health Scientific Services,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI566235 | 14S0571,EPIISL172848,Queensland Health Scientific Services,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI566230 | 14S0121,EPIISL172843,Queensland Health Scientific Services,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI566229 | 14S0119,EPIISL172842,Queensland Health Scientific Services,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI566228 | 14S0115,EPIISL172841,Queensland Health Scientific Services,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI544640 | A/Singapore/GP291/2013.4,EPIISL167050,"Ministry of Health, Singapore","Ministry of Health, Singapore",H1N1pdm09
EPI544638 | A/Singapore/KK158/2013.4,EPIISL167049,"Ministry of Health, Singapore","Ministry of Health, Singapore",H1N1pdm09
EPI544620 | A/Singapore/GP027/2013.4,EPIISL167040,"Ministry of Health, Singapore","Ministry of Health, Singapore",H1N1pdm09
EPI544618 | A/Singapore/GP266/2013.4,EPIISL167039,"Ministry of Health, Singapore","Ministry of Health, Singapore",H1N1pdm09
EPI544616 | A/Singapore/GP211/2013.4,EPIISL167038,"Ministry of Health, Singapore","Ministry of Health, Singapore",H1N1pdm09
EPI544614 | A/Singapore/GP154/2013.4,EPIISL167037,"Ministry of Health, Singapore","Ministry of Health, Singapore",H1N1pdm09
EPI536285 | a-sarajevo-26-2013h1J,EPIISL164198,University of Sarajevo,National Institute for Medical Research,H1N1pdm09
EPI533359 | A/Bilthoven/4601300076/2013|HA,EPIISL163361,National Institute for Public Health and the Environment (RIVM),National Institute for Public Health and the Environment (RIVM),H1N1pdm09
EPI529453 | 14S0287,EPIISL161869,National Centre for Scientific Services for Virology  and Vector Borne Diseases,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI529422 | 14S0005,EPIISL161862,Queensland Health Scientific Services,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI529419 | 14S0004,EPIISL161861,"WHO National Influenza Centre, National Institute of Medical Research (NIMR)",WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI526846 | 13S3197,EPIISL161334,Royal Darwin Hospital,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI526780 | 13S3063,EPIISL161312,Queensland Health Scientific Services,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI526713 | 13S2827,EPIISL161289,Queensland Health Scientific Services,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI520430 | 2014702468_248737_v1_4,EPIISL160205,US NAMRU-6,Centers for Disease Control and Prevention,H1N1pdm09
EPI517002 | 2014701370_245798_v1_4,EPIISL159665,Virginia Division of Consolidated Laboratories,Centers for Disease Control and Prevention,H1N1pdm09
EPI516973 | a-jordan-30653-2013h1N,EPIISL159656,Laboratory Directorate,National Institute for Medical Research,H1N1pdm09
EPI515723 | 2014754800_247973_v1_4,EPIISL159045,Ethiopian Health and Nutrition Research Institute (EHNRI),Centers for Disease Control and Prevention,H1N1pdm09
EPI515417 | a-catalonia-2142245ns-2013h1D,EPIISL158930,"Barcelona, Facultad de Medicina",National Institute for Medical Research,H1N1pdm09
EPI508771 | 2014705955_248313_v1_4,EPIISL157146,UPMC-CLB Dept of Microbiology,Centers for Disease Control and Prevention,H1N1pdm09
EPI511892 | 2014755002_247734_v1_4,EPIISL157075,New York State Department of Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI508622 | 2014755005_247986_v1_4,EPIISL157073,New York State Department of Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI507899 | 14-01365_H1pdm09,EPIISL156917,,Swedish Institute for Infectious Disease Control,H1N1pdm09
EPI507825 | a-bucuresti-157141-2014h1J,EPIISL156881,Cantacuzino Institute,National Institute for Medical Research,H1N1pdm09
EPI505107 | A/Catalonia/6590S/2013,EPIISL155806,Hospital Clínic,Hospital Clínic de Barcelona,H1N1pdm09
EPI504752 | 2014702247_246432_v1_4,EPIISL155659,Contiguo a Hospital Rosales,Centers for Disease Control and Prevention,H1N1pdm09
EPI503889 | 2014702155_246056_v1_4,EPIISL155038,"Pasteur Institute, Influenza Laboratory",Centers for Disease Control and Prevention,H1N1pdm09
EPI503885 | 2014702144_246395_v1_4,EPIISL155036,"Pasteur Institute, Influenza Laboratory",Centers for Disease Control and Prevention,H1N1pdm09
EPI503846 | 2014703867_246205_v1_4,EPIISL155025,New Jersey Department of Health & Senior Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI503383 | 2014704938_245928_v1_4,EPIISL154789,North Carolina State Laboratory of Public Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI503256 | a-pavia-155-2013h1D,EPIISL154736,Istituto Superiore di Sanità,National Institute for Medical Research,H1N1pdm09
EPI503237 | a-kazakhstan-3350-2013h1D,EPIISL154727,National Reference Laboratory,National Institute for Medical Research,H1N1pdm09
EPI501179 | A/Nord Pas de Calais/2519/2013,EPIISL154204,Institut Pasteur,Institut Pasteur,H1N1pdm09
EPI501176 | A/Paris/2516/2013,EPIISL154203,Institut Pasteur,Institut Pasteur,H1N1pdm09
EPI501151 | A/Paris/2160/2013,EPIISL154194,Institut Pasteur,Institut Pasteur,H1N1pdm09
EPI500170 | a-lyon-2694-2013h1O,EPIISL153935,CRR virus Influenza region Sud,National Institute for Medical Research,H1N1pdm09
EPI500166 | a-latvia-12027346-2013h1D,EPIISL153933,"State Agency, Infectology Center of Latvia",National Institute for Medical Research,H1N1pdm09
EPI500158 | a-hong_kong-6015-2013h1D,EPIISL153929,Government Virus Unit,National Institute for Medical Research,H1N1pdm09
EPI498868 | 2014704808_244797_v1_4,EPIISL153366,Kentucky Division of Laboratory Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI498835 | 14-00236_H1pdm09,EPIISL153355,,Swedish Institute for Infectious Disease Control,H1N1pdm09
EPI498818 | 2013-CX0315.4,EPIISL153349,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H1N1pdm09
EPI498792 | 2013-CX0298.4,EPIISL153337,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H1N1pdm09
EPI498660 | 2013-CX0294.4,EPIISL153293,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H1N1pdm09
EPI498606 | 2013-CX0253.4,EPIISL153275,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H1N1pdm09
EPI498600 | 2013-CX0258.4,EPIISL153273,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H1N1pdm09
EPI498567 | 2013-CX0320.4,EPIISL153262,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H1N1pdm09
EPI498564 | 2013-CX0319.4,EPIISL153261,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H1N1pdm09
EPI498417 | a-ghana-dari_224-2013h1N,EPIISL153188,University of Ghana,National Institute for Medical Research,H1N1pdm09
EPI498413 | a-england-640-2013h1N,EPIISL153186,Health Protection Agency,National Institute for Medical Research,H1N1pdm09
EPI498269 | 2014703645_244199_v1_4,EPIISL153124,Delaware Public Health Lab,Centers for Disease Control and Prevention,H1N1pdm09
EPI498217 | 2014700333_244065_v1_4,EPIISL153098,Connecticut Department. of Public Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI497714 | 2014700483_243661_v1_4,EPIISL152942,Caribbean Epidemiology Center,Centers for Disease Control and Prevention,H1N1pdm09
EPI497680 | A/SAPPORO/116/2013_MDCK1_HA,EPIISL152928,Sapporo City Institute of Public Health,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI497678 | A/SAPPORO/114/2013_MDCK1_HA,EPIISL152927,Sapporo City Institute of Public Health,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI497583 | A/Aichi/107/2013,EPIISL152882,Aichi Prefectural Institute of Public Health,Aichi Prefectural Institute of Public Health,H1N1pdm09
EPI492788 | 2014704693_243252_v1_4,EPIISL151834,Colorado Department of Health Lab,Centers for Disease Control and Prevention,H1N1pdm09
EPI492785 | 2014703582_243312_v1_4,EPIISL151833,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,H1N1pdm09
EPI491533 | 13S2140,EPIISL151594,"Ministry of Health, Singapore",WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI491473 | 13S2524,EPIISL151574,Royal Darwin Hospital,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI491315 | 13S2232,EPIISL151521,Canterbury Health Services,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI491298 | 13S2208,EPIISL151515,Royal Darwin Hospital,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI491220 | 13S2089,EPIISL151489,National Institute for Communicable Disease,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI491196 | 13S2081,EPIISL151481,Royal Darwin Hospital,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI489349 | 2014705547_242617_v1_4,EPIISL151036,Alaska State Virology Lab,Centers for Disease Control and Prevention,H1N1pdm09
EPI489346 | 2014700249_242400_v1_4,EPIISL151035,Mississippi Public Health Laboratory,Centers for Disease Control and Prevention,H1N1pdm09
EPI487678 | a-mauritius-214-2013h1M,EPIISL150590,Central Health Laboratory,National Institute for Medical Research,H1N1pdm09
EPI487507 | 13-18999_H1pdm09,EPIISL150557,,Swedish Institute for Infectious Disease Control,H1N1pdm09
EPI487504 | 13-18929_H1pdm09,EPIISL150556,,Swedish Institute for Infectious Disease Control,H1N1pdm09
EPI487501 | 13-18928_H1pdm09,EPIISL150555,,Swedish Institute for Infectious Disease Control,H1N1pdm09
EPI486625 | 2014700144_242110_v1_4,EPIISL150294,National Institute of Virology,Centers for Disease Control and Prevention,H1N1pdm09
EPI486619 | 2014704596_242511_v1_4,EPIISL150292,Kentucky Division of Laboratory Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI486389 | 2014705526_242225_v1_4,EPIISL150165,Arizona Department of Health Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI486386 | 2014700145_242288_v1_4,EPIISL150164,National Institute of Virology,Centers for Disease Control and Prevention,H1N1pdm09
EPI486271 | 13-17658_H1pdm09,EPIISL150148,,Swedish Institute for Infectious Disease Control,H1N1pdm09
EPI485885 | A/Catalonia/0611447NS/2013 ,EPIISL150067,Hospital Clínic,Hospital Clínic de Barcelona,H1N1pdm09
EPI485787 | 2014705524_242223_v1_4,EPIISL150043,Louisiana Department of Health and Hospitals,Centers for Disease Control and Prevention,H1N1pdm09
EPI485760 | 2014703512_241877_v1_4,EPIISL150037,New Jersey Department of Health & Senior Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI484995 | 13-16668_H1pdm09,EPIISL149783,,Swedish Institute for Infectious Disease Control,H1N1pdm09
EPI484992 | 13-16391_H1pdm09,EPIISL149782,,Swedish Institute for Infectious Disease Control,H1N1pdm09
EPI484750 | A/Mato Grosso/73766/2013,EPIISL149734,Instituto Adolfo Lutz,Instituto Adolfo Lutz,H1N1pdm09
EPI484745 | A/São Paulo/5-25179/2013,EPIISL149729,Instituto Adolfo Lutz,Instituto Adolfo Lutz,H1N1pdm09
EPI482181 | 2013843239_241372_v1_4,EPIISL149354,Louisiana Department of Health and Hospitals,Centers for Disease Control and Prevention,H1N1pdm09
EPI482176 | 2013843222_241524_v1_4,EPIISL149352,National Center for Laboratory and Epidemiology,Centers for Disease Control and Prevention,H1N1pdm09
EPI477471 | 13S2411,EPIISL148746,Royal Darwin Hospital,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI484723 | 2013842818_241026_v1_4,EPIISL148735,INSPI,Centers for Disease Control and Prevention,H1N1pdm09
EPI484719 | 2013762684_241058_v1_4,EPIISL148730,US NAMRU-6,Centers for Disease Control and Prevention,H1N1pdm09
EPI477046 | a-st_petersburg-7-2013h1F,EPIISL148602,WHO National Influenza Centre Russian Federation,National Institute for Medical Research,H1N1pdm09
EPI477044 | a-st_petersburg-172-2013h1M,EPIISL148601,WHO National Influenza Centre Russian Federation,National Institute for Medical Research,H1N1pdm09
EPI477040 | a-st_petersburg-137-2013h1M,EPIISL148599,WHO National Influenza Centre Russian Federation,National Institute for Medical Research,H1N1pdm09
EPI477038 | a-st_petersburg-135-2013h1M,EPIISL148598,WHO National Influenza Centre Russian Federation,National Institute for Medical Research,H1N1pdm09
EPI468653 | A/Skovde/3/2013,EPIISL146095,,Swedish Institute for Infectious Disease Control,H1N1pdm09
EPI468480 | NIPH2013-2609.4,EPIISL146065,"Sorlandet Sykehus HF, Dept. of Medical Microbiology ",Norwegian Institute of Public Health,H1N1pdm09
EPI467236 | 2013762311_240616_v1_4,EPIISL145637,Instituto de Salud Publica de Chile ,Centers for Disease Control and Prevention,H1N1pdm09
EPI467223 | 2013762368_240672_v1_4,EPIISL145633,National Influenza Center French Guiana and French Indies,Centers for Disease Control and Prevention,H1N1pdm09
EPI467209 | 2013762393_240671_v1_4,EPIISL145631,Departamento de Laboratorio de Salud Publica,Centers for Disease Control and Prevention,H1N1pdm09
EPI466630 | a-south_africa-3686-2013h1U,EPIISL145449,"Sandringham, National Institute for Communicable D",National Institute for Medical Research,H1N1pdm09
EPI466608 | a-roma-15-2013h1F,EPIISL145438,Istituto Superiore di Sanità,National Institute for Medical Research,H1N1pdm09
EPI466596 | a-norway-1960-2013h1M,EPIISL145432,WHO National Influenza Centre,National Institute for Medical Research,H1N1pdm09
EPI466572 | a-madagascar-01909-2013h1Y,EPIISL145420,Institut Pasteur de Madagascar,National Institute for Medical Research,H1N1pdm09
EPI466568 | a-madagascar-01708-2013h1A,EPIISL145418,Institut Pasteur de Madagascar,National Institute for Medical Research,H1N1pdm09
EPI466551 | a-ghana-DILI-0007-2013h1J,EPIISL145409,University of Ghana,National Institute for Medical Research,H1N1pdm09
EPI466545 | a-estonia-76677-2013h1M,EPIISL145406,Health Protection Inspectorate,National Institute for Medical Research,H1N1pdm09
EPI466204 | 13S0873,EPIISL145352,Queensland Health Scientific Services,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI466201 | 13S0872,EPIISL145351,Queensland Health Scientific Services,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI466067 | 13S0778,EPIISL145306,Queensland Health Scientific Services,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI465860 | 2013760980_239998_v1_4,EPIISL145261,"Instituto Nacional de Higiene ""Rafael Rangel""",Centers for Disease Control and Prevention,H1N1pdm09
EPI465854 | 2013760948_239990_v1_4,EPIISL145259,North Carolina State Laboratory of Public Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI465840 | 2013760989_240070_v1_4,EPIISL145254,"Instituto Nacional de Higiene ""Rafael Rangel""",Centers for Disease Control and Prevention,H1N1pdm09
EPI465829 | 2013760987_240064_v1_4,EPIISL145250,"Instituto Nacional de Higiene ""Rafael Rangel""",Centers for Disease Control and Prevention,H1N1pdm09
EPI465812 | A/Centre/1290/2013,EPIISL145245,Institut Pasteur,Institut Pasteur,H1N1pdm09
EPI465495 | 2013760846_239569_v1_4,EPIISL145105,Instituto Nacional de Enfermedades Infecciosas,Centers for Disease Control and Prevention,H1N1pdm09
EPI465487 | 2013760932_239684_v1_4,EPIISL145102,Oswaldo Cruz Institute - FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Centers for Disease Control and Prevention,H1N1pdm09
EPI465701 | 2013760619_239936_v1_4,EPIISL145101,National Institute of Hygiene and Epidemiology,Centers for Disease Control and Prevention,H1N1pdm09
EPI465481 | 2013760865_239675_v1_4,EPIISL145099,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,H1N1pdm09
EPI465709 | 2013760601_239545_v1_4,EPIISL145097,National Institute of Hygiene and Epidemiology,Centers for Disease Control and Prevention,H1N1pdm09
EPI465272 | 2013760724_239381_v1_4,EPIISL145029,Caribbean Epidemiology Center,Centers for Disease Control and Prevention,H1N1pdm09
EPI465269 | 2013760735_239503_v1_4,EPIISL145028,Puerto Rico Department of Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI464669 | a-ukraine-312-2013h1M,EPIISL144790,Institute of Epidemiology and Infectious Diseases AMS of Ukraine,National Institute for Medical Research,H1N1pdm09
EPI464647 | a-pavia-28-2013h1F,EPIISL144779,Istituto Superiore di Sanità,National Institute for Medical Research,H1N1pdm09
EPI464635 | a-kmelnitsk-354-2013h1M,EPIISL144773,Institute of Epidemiology and Infectious Diseases AMS of Ukraine,National Institute for Medical Research,H1N1pdm09
